,영화댓글
585,그래픽이 정말 화려하기때문에지루할틈없이 시간이 갔어요!!!!
586,"역시 마블~ 뛰어난 연출,스토리~"
587,샹치 나만 손흥민 닮았나요?
588,간만에 통쾌한 액션을 봤다.
589,그냥중국  용 나오는 판타지 영화.왜 중국영화는  꼭 용이 나올까??드래곤볼!  에네르기파.  허 참
590,"소문난 잔치에 먹을거 없다는게 이런건가..중국스러운 영화에 마블이 발을 담궜다가 뺀 정도랄까...샹치 친구 KT ?? 보는 내내 개그우먼 김영희 씨가 생각났습니다..양조위,양자경님 나올 땐 어렸을 때 보던 90년대 중국영화 느낌이..이 영화를 볼까말까 고민하는 분들이 계시다면,쉬는 날 할거 없을 때 킬링타임용으로 본다면 말리지는 않을 정도의 영화라고 생각됩니다.별점 6~7점대 라는걸 참고 하시고.."
591,마블은 마블이다영상미 최고
592,
593,마블이 날 속였다 진짜 새로운 세계가 열렸다
594,너무 재밌었는데 평점이 왜 이렇게 낮은지 모르겠..추천합니닿ㅎㅎㅎ
595,무협지 같은 느낌~  화려하니 감동은 제로
596,"스토리 - 예상가능한 클리셰의 범벅 + 마블식 세계관 확장으로 인한 설정 파괴 (오류), 액션 - 중반 (마카오) 까지는 좋은편이지만 이후부턴 엉망 그 자체 (전쟁하겠다고 가는데 포박용 쇠뇌, 베이고 찔리는게 아닌 전기 자극 오는 무기 등), 연출 - 역시 중반 까지는 볼만하다 후반부터 스토리 급전개로 인한 엉망 뮬란 업그레이드 수준, 기타 - 배역별 언어 문제 영어 중국어가 통일이 안되니 대사별 (언어별) 분위기가 따로놈 심지어 극장 자막 (한글) 도 미세하게 틀려서 집중이 안됨"
597,
598,마블시리즈중 최악...
599,"샹치와 아콰피나 친구컨셉으로 가자,러브라인으로 가면 못보겠슴"
600,영화 결론 마블이 짱깨했네
601,"(※요약 다 필요 없고 용이랑 구미호 보고 싶으면 보면 될 거 같으며, 스토리랑 개연성은 생각 안 하면 봐줄 만하다고 권할 수는 있지만 난 추석에 하거나 운동하다가 나오면 채널 돌림.)태어나서 처음으로 영화를 보고 리뷰를 써보네요.... 다양한 장르 영화 좋아하고, 특히 히어로 영화는 마블, 디씨 가리지 않고 좋아하는데 이건 뭐.... 파워레인저 비하하는 건 아니지만 파워레인저에 디워 합쳐 놓은 영화 같았습니다... 팩트로 말하자면 저거 둘 비교하는 것도 아깝네요... 그냥 느낌만 참고하시면 될 거 같아요.... 특유의 중국 무협영화에 스토리 개연성은 정말 하나도 없으며, 1000년을 살아오신 주인공 아버님 분은 1000년 사시면서 그 정도 1차원적인 캐릭터이시면... 무지성 거인과 맞먹는 지능 수준으로 판단되며, 샹치라는 아드님을 보니깐 유전이라는게 정말 강하다는 느낌을 받았습니다. 킬링타임이 아니라 이건... 시간 아깝고 다행히 포인트로 봐서 돈은 안 썼다는 게  오늘 하루 제일 기분이 좋네요..."
602,싸구려 중국풍 영화
603,너무 만화영화 처럼 액션과 CG로 가려놓은 억지스러운 영웅인데 샹치 캐릭터 좋와하는데 배우도 맘에 안들고 상당히 실망스러운 영화
604,6점이 딱맞다어벤져스와 활약 기대해본다
605,마블 최애 바뀜 ㅇㅇ 개재밌음
606,"문정부에서 중국몽을 실현하기 위해 댓글 알바 고용해서 평점 조작하나 싶을 정도로 쓰레기 영화. 인생 최악의 영화로 손꼽을 정도입니다. 평소에 마블 영화를 좋아하고 인피니티워, 앤드게임만 영화관에서 10번씩 봤을 정도로 광팬입니다.하지만 이건 무슨 중국 3류 영화같네요.히어로 영화인데 멋이 너무 없습니다.남자주인공과 여동생의 외모 때문에 집중할 수가 없을 정도예요.초반에 웬우와 샹치 엄마의 첫만남에서도 뜬금없이 러브라인으로 이어지는 연출과 배경음악이 너무 화나더라구요.텐 링즈는 어디서 왔는지 어떻게 갖게 되었는지에 대한 내용도 없고 중간에 만다린 나오는 장면도 개연성이 부족하고 대사 하나하나 재미도 없었습니다. 부족 마을에서는 악당과 갑자기 같이 손잡고 싸우는 것도 개연성이 없고, 그렇게 싸우는 상대가 반지의 제왕에나 나올 법한 굴즈들인 것도 너무 어이가 없더라구요.링즈를 이용해서 날아다니는 장면도 멋이 없었고 차라리 원피스 프랑키 꾸드뽕이 더 멋질 정도입니다.마블 영화인 것이 너무나도 실망스럽고 앞으로 텐 링즈가 어떻게 전개될지는 모르겠으나 세계관에서 아웃 배제되었으면 하는 내용입니다.이렇게 길게 작성하는 이유는 호평이 많아 시간과 돈을 이 영화에 투자할 사람들이 안타까워서 길게 작성합니다. 돈 많고 시간 많은 분들만 보세요."
607,액션신 너무 멋있었음 ㅋㅋ 보통 서사에 집중하는 영화들이랑 달리 액션에 집중을 한 듯했고 중국풍을 살리려고 노력한게 보임
608,드래곤볼~~깜짝놀라요~
609,샹치 보고 중국몽 어쩌고 까는것들이 제일 무식해보임ㅋㅋ 아콰피나는 한국계 혼혈 배우에양조위는 중국인 아니고 예로부터 유구하게 공개적으로 홍콩의 민주화운동을 지지하다가 보이콧당했고양자경은 중국인 아니고 중공과 유착관계인 미얀마 군부를 비판하며 민주화운동을 지지표명했는데중국이라고 무작정 버튼눌리는게 참 신기하고 멍청함
610,"중반까지는 조금 지루한 느낌이 있었는데, 후반으로 갈수록 액션도 재밌고 영상미도 좋았습니다! 개인적으로 아는 얼굴의 배우들이 많아서 재밌었던것 같아요~ 물론 중국적인 요소가 많긴했지만.. 음 그래도 재밌게 봤어요! ㅎㅎ"
611,"양조위님이 정말 멋있었다는걸 느꼈습니다. 액션은 마블영화중 손에 꼽을정도로 훌륭했습니다. 다만 스토리가 조금 아쉬운 느낌이 있었습니다. 그래도 링을 이용한 액션, 버스안에서의 액션은 정말 멋있다는 말밖에.."
612,양조위님 아니었으면 완전 볼 거 없었을거같아요.CG도 마블영화치고 너무 대충만든거같고... 양조위님 연기때문에 10점드립니다.계속 나오셨으면 ㅠㅠ)
613,텐링즈는 돌아가라!!
614,"나한테 왜 이러냐 진짜 <×☆""*"
615,오랜만에 본 마블 영환데 개꿀잼이었다
616,마블이 만들면 중국영화도 세련될 수 있구나를 느꼈습니다
617,디워2가 마블로 나올 줄이야...
618,중국 영화라하는데 참고로 이 영화 중국에선 상영금지됨. 영화보면서 잘뻔함
619,"마블이라는 타이틀에   중궈판  ""디워"" 느낌..   으리로  본듯한..."
620,중간까지는 좋다가 마지막이 좀..
621,왜 중국에서 상영 금지인지 이해할 수 없다. 양조위 갈수록안성기 닮아가네
622,평점 낮을때 봐서 걱정했는데 너무 재밌게 잘봤음
623,진짜 재밌게 봤어요 액션도 짱 역시 마블입니다
624,양조위와 텐 링즈의 전설
625,중국 어쩌구 저쩌구 해서 트위터 글 인용합니다.아콰피나는 한국계 혼혈 배우에양조위는 중국인 아니고 예로부터 유구하게 공개적으로 홍콩의 민주화운동을 지지하다가 보이콧당했고양자경은 중국인 아니고 중공과 유착관계인 미얀마 군부를 비판하며 민주화운동을 지지표명했는데중국이라고 무작정 버튼눌리는게 참 신기하다고 할지 ㅎㅎ
626,나오는 캐릭터들의 에너지가 좋아요
627,솔직히 평점 낮은 거 이해가 안 됨 내가 봤을 때 중국인이 많이 나오는 영화라서 평점 낮은 것 같음 ㅉ ㅉ
628,아 뭔가 아쉽네 아쉬워 서사는 있는데 악역이 악역으로 안보임
629,"마블도 은근히  중국돈 빨아 먹고 싶긴 한가봐?,"
630,이런 적 없는데 여운이 많이 남아서 또 보고싶어요!
631,믿고 보는 마블에 양조위까지ㅠㅠㅠ 걍 최고였듬
632,액션이 살아 있다ㅋㅋㅋ 앞으로의 마블이 기대되는 이번 영화!
633,IMAX에서 관람한 보람이 있는 스케일감! 마지막 쿠키까지 완벽했음ㅋㅋㅋ
634,애초에 원작 자체가 중국인 캐릭터인데 무조건 유치하다고 까는 건 좀.. 그렇게 따지면 토르에서 신들이 영국어휘 쓰고 발키리들이 페가수스 타고 다니는 건 안 유치했음? 타노스는 아얘 산채만한 우주괴물 데리고 다니는데?  샹치가 히어로가 되기 위한 여정이 한 편에 다 담겨야 하는 난제가 있었음에도 간만에 충분히 재밌는 마블영화였음 난 신나게 보고 나옴!
635,좋은 영화 봤습니다 재밌었어요ㅎㅎ
636,진짜 별로에요 절대 보지 마시길
637,"머리는 샹치 응원하는데,, 마음은 양조위 응원함,, 명불허전 양조위ㅠㅠ"
638,
639,무난한데 평점 수쥰 죳같네
640,"그냥 존나 재밌다중국은 까되, 액션씬은 솔직히 좋았잖아 ㅋㅋ양조위하고 액션씬은 까지마라 ㅋㅋㅋ아 웃긴다재밌기만한데 왜 까고 xx이야"
641,양조위 캐스팅은 신의 한 수. 마블에서 그런 연기는 아깝...
642,저 이제 마블 끊을께요..^^
643,마블은 마블이다! 기대 이상으로 좋았던 액션과 스케일.
644,중국사상을 입히려는 영화여서 기대가 컸던만큼 실망도 큰 영화. 중국돈에 굴복한 마블이라 느껴져서 너무 아쉽다. 거기다 아시아인을 마치 중국으로 대변해서 기분까지 나쁘다~
645,토렌트 로 기다릴게요  ㅋㅋㅋㅋ  잘볼게요.
646,생각 이상 재미 있음 뒤에 이어질 마블의 무궁무진한 이야기들을 꺼내는 시작에 불과함에도 넘 괜찮았음
647,애미d진 짱깨찬양영화. 근데 임창정은 중국어 잘하더라.
648,샹노무 양아치: 패륜남매의 전설
649,양조위 말고는 캐릭터에 매력이 없다..
650,걍 중국영화에 마블CG 딱 그정도
651,잤다  그냥 중국영화다  중극영화 좋아하는사람이면 볼만하다
652,"사일러스 등장, 갑자기 급 신드라로 진화, 용도 등장.. 급 3류로 전락"
653,일단 최종보스랑 용만 빼면 액션도 좋고 훌륭해요양조위도 너무 멋있고요.근데 최종보스가 포스 1도 없고 꽥꽥대다가 죽은건 진짜 너무합니다;;사실 한 8점짜리 영화인데 평점이 너무 낮아서 10점 줍니다
654,최악 너무재미없는 평범한 중국영화기대를 안하고 갔음에도 불구하고 재미없어서 졸았습니다 (7시에 봤는데도 졸았음)
655,양조위 역 웬우가 죽음으로 다시 보기 어렵다는게 그저 아쉽다
656,양조위한테서 태교를 얼마나 잘못햤으면 저런 아들 딸이 나오는거죠 ㅋㅋㅋ
657,그냥 중국 겨냥한 중국 영화
658,액션 과 스케일 훌륭하네요! 스토리도 준수합니다.새롭게 시작될 마블의 첫 이야기 스타트가 아주 좋습니다!
659,중국풍이라 과하게 저평가당하는 경향이 있네요. 액션씬은 마블영화에서 손에 꼽을정도로 좋았고 스토리는 많이 아쉬웠습니다.
660,
661,배우들 액션씬 좋았어요 ㅠㅠ
662,왜 보는지 이해가 안가는 영화
663,"액션신 훌륭. 연기력 출중한 배우들과 잘짜여진 스토리 넘 재밌었음. 마지막 쿠키영상 놓쳐서 아쉬움,, ㅠㅠㅠ"
664,"평점들을 보고서,초반에 중국어로  잠깐 동안 계속 나오는 걸 보고 '아 잘못 골랐구나 '싶었지만,  그 이후엔 계속  미국어가 나오고 액션이나 스토리면에서도 나쁘지 않았던 것 같습니다.(마블이 관히 마블이 아니죠) 후반부에 신파 장면이 조금은 거슬릴 수 있으나   그런 건 감수할 수 있다고 생각합니다 쿠키영상이 2개여서 기다리는  게 조금 거시기했지만,  두번째 껀 굳이 안 봐도 될 듯 싶네요,(저로썬 뭔 상황인지 이해가 안 되기도 했고요)이상입니다"
665,중국과 관련되면 극혐해가지고 이걸 별테하네;;액션꿀잼임ㅋㅋ원래 7점짜리인데 별테 심해서 10점줌
666,중국무협판타지괴수영화...딱 그정도
667,양조위 선생님 멋있습니다...
668,버스 액션씬이 제일 재밋엇고후반으로 갈수록 흠...
669,낯익은  얼굴  중국배우  양조위재밌어요가족사랑 감동
670,마블+쿵푸팬더+디워
671,무협을 좋아하시는 분들은 액션이나 영상미로 재미있게 볼 수 있습니다. 그런데 솔직히 스토리는 조금 아쉽습니다.
672,마불이라도 jjang gga 영화는 안본다. 이거보는 사람들은 중국투자자들한테 돈주는거나 마찬가지임. 또한 공산당 지지하는 좌파정권 수하중 하나
673,이거역시 중국 뭍은 서레기영화 ㅉㄱ가 ㅉㄱ했다
674,이정도면 잘 나왔다고 생각함7점대의 영화는 아니라고 봄믿고 보는 마블!
675,난 개인적으로 정말 재밌게 봤다. 중국이라서 보기 싫다는 사람들은 걱정할 필요 없다. 중국이라서 무지성 별테하는 놈들 한심하다. 물론 샹치의 첫번째 솔로 무비라 부족한 부분도 있었지만 앞으로 더 나아질거라 믿는다. 시무 리우 못생겼다고 까는 사람들은 지들은 얼마나 잘났는지 모르겠고 한심하다. 모든 캐릭터들이 매력있고 좋았다.
676,"1970년대 마블 원작, 홍콩혁명 지지 배우가 둘, 중국공산당 발작하며 상영금지왜 무개념까들이 중국 묻었다면서 까대는지모르겠다."
677,이런거 만들지 말고 다시 아이언맨이나 부활시켜라 ㅠㅠ
678,영상미도 좋고 생각보다 나쁘지는 않은데 주인공이 너무 밋밋하고 마지막에 상상도 못한 정체 포즈로 마무리하는 것 때문에 2점 깎음
679,마동석과 시무리우 역할이 바꼈다고 생각해요 마동석 연기 잘하는데 왜 이터널즈에서 사망하게 하죠? 시무리우는 중국인인데 메인주연으로 넣고 ㅉㅉ 중국시장이 커서 이렇게 차별하나요? 닥터스트레인지 옆에 붙어다니는 사람도 중국인 아닌가요? 중국인 그만쓰고 한국인 많이 써주세요 메인으로요 한국인 마블 히어로 영화 나올수 있게 국민청원 부탁드려요
680,"일단 주연 배우들때문에 볼까말까 고민하게 만든 마블영화는 처음임. 오히려 조연배우들 때문에 보고싶어지는 영화. 액션은 쿵푸허슬+성룡+디워. 개그코드는 그럭저럭 괜찮았고 스토리는 약간 허술했지만 그래도 재미있음. 주연배우들에게 기대를 너무 안했어서 그런지 오히려 연기력은 만족스러웠음. 단독시리즈는 그다지 와닿지 않았지만, 앞으로 MCU에서의 동행우 기대됨."
681,꽤 괜찮다 큰 화면으로 봐야 좋음
682,"일단 남주 시진핑 너무 닮았어요,,, 스토리 흐름도 중간중간 휙휙 넘어가고; 마블영화중에 제일 노잼인듯"
683,개인적으로 이 영화를 90년대 홍콩영화라고 표현하는 사람들이 이해가 안간다.다들 양조위 찬양만하고 진정으로 샹치 영화대한 이해도가 부족하다. 마블 영화들을 본 사람들은 알겠지만 각 세계관마다 전통을 지키고 그 전통 방식으로 무장한다. 와칸다만 봐도 알 수 있다. 샹치도 똑같다. 탈로 사람들은 전통을 지키고 그들이 지켜야할 위협으로부터 그에 맞게 대응할 수 있는 신식 무기로 무장했다. 그들은 자동차를 모르는 것도 아니며 샹치 세계관 속 아시아 문화를 잘 보여줬다 생각한다.유명한 아시아 배우를 섭외함으로서 그 감동은 배가 되었고 액션은 역시 마블답게 굉장했다.아시아 문화를 보여주는 마블 영화라고 생각한다. 마블만의 독특한 촬영기법으로 관객들의 시선을 잘 빼았았다.다들 이 영화에 무엇을 기대했는지 모르겠지만 이 영화는 성인들만 보는 영화가 아니다.가족들이 보는 영화다.아이부터 성인까지 재밌게 즐길 수 있는 마블 영화였다.어떤 사람들은 쿵푸허슬 패러디가 보인다한다. 어디가?나는 잘 모르겠는데 나도 주성치 영화를 참 좋아하는데 주성치 영화를 패러디로 떡칠한 모습따윈 보이지않는다.굉장한 cg기술로 아시아 전설의 동물들도 잘 보여줬는데 이걸 유치하다고 생각하는 사람들은 도대체 어떤 관점으로 보길래? 나는 놀라웠고 대단했다.
684,나쁘진 않았다 호불호는 갈릴것같은데 마블 열성팬인 동생이랑 보러갔는데 둘다 재밌게 잘 봤음
685,"7점대 절대아니다, 액션도 스피디해서 만족, 텐링즈를 활용하는 액션은 진짜 겁나멋있음. 등장인물들도 중국사상을 가졌다기보단, 중국계 미국인인라 태도가 이해 가능한 수준임. 짱깨들, 짱깨영화 극혐인데 미국자본 들어간 마블이만들어서 그런지 짱깨가아닌 중국인으로써의 전통품은 예술작품으로 승화했음. 만족스럽고 마블 찐팬으로써 샹치의 마블유니버스 합류를 정식으로 인정함! 땅!땅!땅!"
686,헐리우드 히어로무비라기보다는  걍 흔한  중국영화.
687,중화사상에 근거한 헐리웃 짬뽕 탕수육.음... 봐도 좋고 그 정도^^
688,마블에서 만든 90년대 홍콩영화양조위 액견은 최고
689,엔드게임 이후 마블영화 너무 만족이에요
690,쿠키영상 2개 꼭 보세요 액션 좋네요ㅎ
691,너무 좋습니다. 기대안했는데 재밌어요ㅋㅋㅋ
692,액션이 존나 충분히 다른 단점 커버할만큼 재밌음. 나도 짱개혐오하는데 재밌는건 재밌는거다.
693,
694,아 돈 시간 다 아깝다 시이이잉발
695,마블에서 이런 영화가…. 절정 찍고 시작된 퇴보의 첫 발인가… 진짜 마블 유니버스때문에 숙제하듯 봤다…
696,사실 중국 배경 영화는 전혀 내 취향 아니여서 보고 싶지 않았으나 그래도 마블을 믿고 봤음. 그러나 역시는 역시라고 흔하디 흔한 중국 영화 한 편을 보고 온 듯한 느낌임. OCN에서 간간히 해주는 중국 영화 아시죠? 그냥 그거에 마블 히어로 아주 잠깐씩 나오는 거 말고는 차이점을 모르겠음. 참고로 마블 영화 보면서 자본 적 없는데 처음으로 30분 간 잤음. 내가 용을 좋아해서 망정이지 용 말고는 기억나는 거 1도 없음. 용 좋아하면 보는 거 추천함.
697,주인공이 어린시절의 트라우마로부터 벗어나 성장하는 모습이 씨줄이고 가족 간의 비극적인 갈등과 해소가 날줄이다. 샹치는 중국 무술의 단순한 액션 영화가 아니라 미국식 가족주의 메세지가 담긴 영화다. 그래서 극 후반으로 갈수록 헐리우드 냄새를 맏게 된다. 특히나 신파보다는 모두가 의미를 찾는 해피엔딩으로 극을 마무리짓는 전개 방식이 그러하다. 우리 영화라면 누군가 희생하고 울고 불고 했을 것이다. 다만 주인공이 입체적인 성격을 잘 표현하지 못한 연기력이 아쉽다.
698,양조위 얼굴만 봐도 재밌음
699,이것은 짜장맛 햄버거.
700,재미없다는 애들은 니네가 영화를 그냥 제작해라 재밌기만 하구만 키키키
701,평점 좋게 주는놈들 조선족인듯
702,이 쓰레기 영화 돈 아깝다
703,에휴… 중국시장이 돈이 되긴 되는가 봅니다.
704,생각보다 재밌음 중국빠는 내용도 안 들어가 있고
705,"마블의 침체, 디씨의 부흥의 시작의 전OO까...진짜 재미없다... 무엇보다 캐스팅... 많고 많은 아시아권 배우들 중에서 어디 저런 똥같이 생긴 애들만 캐스팅했냐... 양조위는 존멋 ㅇㅈㅇㅈ..."
706,영화순서가 이렇게 전개됨성룡영화>옹박>황비홍>나니아연대기>디워5개영화짬뽕으로 본느낌기대안하고봐서 볼만으 했음
707,뒤에 30분 정도만 봐도 파악이 되고 꼭 쿠키영상 보셔야 해요. 그래야 다음 마블 애기가 있어요. 어벤저스에서 이어질 이야기 링이 있어요. 근데 몬가 드래곤볼 같기도 하고 그냥 영상미도 그렇고 그냥 마블이라서 본거에요.일부러 아침에 본건데 애들도 부모님 따라서 보내요. 역시 마블은 애들 영화?뒤에가 뭐가 아~마블이지 뭐 그냥 보세요. 요즘 영화보기 취미면 강추
708,솔직하게 재밌다... 개재밌다... 평점 낮은거 이해가 안된다...
709,"반지제왕인가? ㅋㅋ 절대반지, 사루만 고대로 짜집기했네"
710,새로운 마블이였습니다 뭔가 마블을 봤다기보단 쿵푸팬더를 본 느낌?ㅋㅋㅋ 그래도 재밌게 봤도 액션신및 연출은 좋았습니다 링에서 나오는 빛같은게 멋졌네요
711,짱깨영화인줄알았으면 안봤지.. 짱개영화를 극장에가서 보다니.. 하..
712,이건 뭐 중국산 마블영화…마블이라고 하기도 뭐한…이제 마블도 한물 갔구나를 느낄수 있다
713,마블 영화중에서 역대급 액션이라고 생각합니다.
714,평점이 낮아서 기대 안했는데 생각보다 재미있네요. 기존 MCU 스토리와도 절묘하게 교차하네요.
715,다른 맛으로 재미있었던 마블 영화였습니다 정말 재미있어요
716,와 짱잼ㅠㅠ 적극 추천입니다!
717,좋았어요! 꼭! 다시 볼꺼에요!
718,"여담이지만 개봉전에는 중국 상영이 금지된 이유가 공산당이 싫어할만한 포인트가 있어서라고 생각했는데 정작 영화를 보고나니 생각이 달라졌음.본편에는 딱히 중국 공산당이 싫어할만한 요소들이 거의 없었음. 오히려 중국색이 굉장히 짙어서 좋아할 수준.예민하게 반응하는걸수도 있긴 한데 영화에는 동양풍 판타지 설정, 특히 여러 동양의 국가들의 신화, 설화 속에서 등장하는 신비한 생물들이 많이 등장하는데 문제는 그 모든 생물들이 중국인들이 중국어로 말하는 중국 배경의 세계관에서 등장한다는 점. 당연히 외국인들 입장에서는 거기에 등장하는 모든 것이 중국의 문화, 신화라고 생각할 것인데 이 부분이 좀 거슬리긴 했음. 중국색이 중국을 선전해주는 수준으로 이렇게나 짙으니 중국에서 개봉했으면 엄청난 흥행을 했을 것 같은데 중국은 이걸 막아버렸으니 손안대고 코푼격이랄까? 중국 영화 시장은 내수시장 만으로 연간 흥행 순위 상위권을 달 정도로 엄청나게 큰데 그런 황금같은 시장에 디즈니가 끼어들고 거기에 대흥행까지 하는게 중국 입장에선 달갑지 않을 것. 거기에 '전세계적으로 흥행'하는 마블에서 중국을 의식해서 중국풍을 다 때려박아 줬으니 굳이 자국내 시장을 열어주지 않아도 전세계적으로 문화선전이 되는것.결과적으로 중국은 손해보는 것 없이 문화적인 선전을 한 것이고 디즈니는 제발 이 일을 계기로 중국시장 그만 욕심내고 꾸준히 봐주는 팬들이나 챙기자;;"
719,볼만햇다ㆍ가족영화로는 극장에서 보기엔 괜찬은데ㆍ좀유치하다ㆍ
720,생각보다 훨씬 재미나서 시간 가는 줄 모르고 보게 되더라구요~
721,샹치 2가 기대된다.
722,눈은 즐겁네요 무엇보다 액션이 너무 좋네요ㅎ
723,마블은 역시 영화를 잘 만들어ㅋㅋㅋ
724,양조위 너무 멋진거 아니냐고ㅠㅠ
725,스토리 막장 중간까지 볼만함 쿠키가 제일 재밌음
726,노잼노잼거려서  기대안하고 봤는데솔직히 볼만한데?  중국 빠는것 같지도 않고 ㅋㅋ쿵푸허슬 고수할아버지 너무 진지하게 나와서아쉽
727,버스보이가 이세계 마을을 구하면서 벌어지는 이야기
728,대박일 정도로 재미있다는 느낌은 없었습니다. 잘 만든 액션영화.하지만 스토리가 급전개된다는 느낌이 강해서 전체적으로 가볍다는 느낌을 많이 받았습니다.
729,하진짜 마블영화에서 제일 졸린게 블랙위도우인줄알았는게 이거보니 블랙위도우가 ㅆ명작 ㅋ
730,쿵후 액션 히어로가 마블에서 나와서 재밌게 봤습니다.중학생 아들도 액션과 용이 나오는 장면을 좋아했습니다.양조위 양자경 등 예전의 액션스타를 보는 것도 좋았습니다.한국 액션 히어로도 한명 나왔으면 좋겠네요.
731,주인공 개못생겨서 그냥 보는내내 흥미가 떨어짐
732,많은 분들이 우려하시던 중화사상이라던가 pc라던가 크게 거슬리진 않았네요 소규모액션은 정말 주먹질 하나하나에 음악 딱딱 맞춰서 패는거 통쾌하고 텐링즈라는 아이덴티를 적극 활용했다고 생각해요 근데 마지막 전투는 많이 아쉽네요 군대라기보단 패거리에 가깝고 딱히 제대로 보여주지도 않아서...많이 허전했어요 그래도 괴수들 많이 나와서 좋았어요
733,못생긴 남자 주인공이 안그래도 빈약한 스토리를 더 약하게하여 극의 집중도를 닞춘다. 그레도 양심은 있었는지 여자주인공도 못생겼다.
734,양조위가 개연성입니다.
735,평점 테러 이유라도 좀??
736,영화보다가 잤음 ㅋㅋㅋㅋ중간에 나왔는데 멤버십으로 예매한거라 돈은 안아까움
737,그냥 주인공 너무 귀엽고 아빠는 너무 잘생김 ;; 솔직히 평점때문에 큰 기대는 안했는데 나름 볼만했음
738,"마블 흑역사..마블 좋아해서 최대한 긍정적으로 보려 했는데, 이건 많이 심하다.. 그냥 퀄리티 좋은 중국영화"
739,스토리상 아쉬운 점은 있지만 마블 영화 중에선 상위권. 액션이 강화된 블랙팬서
740,와진심 짱게영화는 거르고본다 거지에게 돈주는게 더이득이내
741,안볼려다가 주변인이 볼만하대서 봤는데 눈떠보니 졸고 있었다.  샹치보다 빌런인 아빠에게 더 눈이 가고 너무 중국스러운 영화라서 좀..그리고 마지막  디워가 생각났다
742,뭘보라고 만든 영환지  모르겠다
743,오랜만에 나온 마블의 괴작
744,후기들 안좋은거치곤 상당히 잼있게 봤어요~믿고보는 마블!
745,중국영화인줄 지들끼리 대화하는데 영어썼다가 중국어 썼다가
746,마블 이름을 빌려 만든... 완전 OOO기  중국 영화....
747,저퀄리티 최악 중국 무협영화
748,서유기에서나 나올법한 각종 특이한 동물들 나오는게 중국스럽고 너무 과하고 마지막 용싸움은 영화를 망치는 주범임 절정이 최악이니 재미있을수가 그리고 중반부분 과거 얘기는 액션 하나 없이 지루하기만함
749,뻔하지 않았지만 뻔했던 동양마블
750,아들은 엄마를 딸은 아빠를 닮는다
751,좋네요. 양자경 양조위도 반갑고요ㅎㅎ
752,하 너무 재밌었다... 멋지고 웃기고 다 하는 영화
753,딱 마블스러운 영화라 재밌었음
754,양조위 보는 것 만으로도 좋다!
755,간만에 시간 가는줄 모르고 본 영화입니다~ 좋아요~
756,마블이니까 믿고 가는거쥐
757,엄청 잼있음 글고 남매가 다시 만나 결투 하는데 게임 철권인줄  버스 전투 신도 마지막으로 리버풀 아저씨 웃기더라 리버풀 머플러차곸ㅋㅋ
758,ㅈㄴ재밌음 다음편이 기대되는 히어로
759,두번째 쿠키때문에 다음편도 기대됨 ㅠㅠ
760,양조위 보러 갔다가 샹치에 치임.. 계속 생각난다... 또 봐야되나...ㅎㅎㅎ
761,"전체적으로 유치했지만 양조위 최고,..아콰피나의 연기도 매력적 이였어요.닥스랑 연결되는것같아서 좋아요. 초반 버스씬 재밌었어요."
762,상치 재미있게 봤어요 다음편이 기대되네요
763,기대 안하고 봤는데 생각보다 재밌음.
764,별 한 개도 주기 아까움 3류 중국영화에 마블 글자만 묻은 격 양조위 분위기 제외하고는 볼게 1도없다
765,심형래 감독 성룡 연출 양동근 주연 안성기 조연디 워:러시아워
766,ㅈㄴ재밌어요 꼭보세요
767,처음에는 성룡영화 느낌으로 액션이 좋았지만 이후 쿵푸허슬과 킹콩 대 고질라 짬뽕해놓은 감동 없는 B급영화 느낌이 강합니다 ㅠㅠ
768,마블에서 양조위를 볼 줄이야ㅎㅎㅎ
769,오랜만에보는 진짜액션
770,트랜스포머와 퍼시픽림을 처음 봤을 때 느낌이다.  마블이 또 하나의 로망을 이뤄주었다. ㅠㅠ 오글거리지만 멋지다.
771,페이즈4의 시작을 제대로 열었다!!!역시 마블기대를 져버리지 않는군!!다음 영화도 기대
772,오락 무비로 충분하게 잘만들었음
773,시간 가는 줄 모르고 봤네요^^
774,중국이 싫다고 좋은 영화에 별점테러 하는건 아니러고 봅니다.  스케일이 어마어마하진 않지만 이정도 영상미면 최소 8.5는 나와야 한다고 봅니다.
775,마블 유니버스의 또 다른 아시안 히어로~~!!
776,너무 재밌어요 ㅎㅎ 양조위 양자경 다 좋아요 샹치도 잘생겼구요
777,마블 덕후로서 안볼수없어서 본 영화.초반엔 그럭저럭 괜찮지만 갈수록 헛웃음이...아이들과 보면 좋을것같습니다.
778,최고입니다.마블인데 말햐뭐함
779,마블과의 의리때문에 본다 진짜
780,그냥 아주 뻔한 중국 무술에 마법이 추가되었다 밖에 할 말은 크게 없습니다...
781,잼남 ㅎㅎ 다음 마블도 빨리 나왔으면!!
782,버스 전투 장면은 잊을 수가 없다
783,오랜만에 보는 양조위 살아있네~~
784,기대안하고 봤는데 생각보다 더 재밌었음!!
